Datum,Vsebina,label,score
2023-05-18,Unique flavor and great energy boost. It's the perfect gamer's drink!,POSITIVE,0.9998904466629028
2023-05-17,Good flavor and keeps me energized. The bottle design is really fun.,POSITIVE,0.999889612197876
2023-05-16,Excellent energy drink for gamers. The tropical flavor is refreshing.,POSITIVE,0.9998767375946045
2023-05-15,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",POSITIVE,0.999864935874939
2023-05-15,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",POSITIVE,0.9998451471328735
2023-05-12,The cherry cola flavor is a win. Keeps me energized and focused.,POSITIVE,0.9998745918273926
2023-05-10,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,POSITIVE,0.9998632669448853
2023-05-01,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,POSITIVE,0.9998654127120972
2023-05-01,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",POSITIVE,0.9984560012817383
2023-04-25,Really enjoyed the citrus flavor and the energy boost it gives.,POSITIVE,0.9998840093612671
2023-04-25,"Great concept, but the sizing is a bit off. Order a size larger.",NEGATIVE,0.9941918253898621
2023-04-18,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",POSITIVE,0.9998902082443237
2023-04-12,"The boots are durable, but the laces could be better quality.",POSITIVE,0.8142092227935791
2023-04-11,This potion is a game changer. Love the energy boost and the flavor.,POSITIVE,0.9998190999031067
2023-04-10,"Light, comfortable, and nice design. I'm buying another pair.",POSITIVE,0.9998525381088257
2023-04-10,Highly recommend! These shoes are great for evening walks. Kids love them!,POSITIVE,0.9998764991760254
2023-04-09,It's like a health potion for gamers! The energy boost is spot on.,POSITIVE,0.99863201379776
2023-04-07,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,POSITIVE,0.9998599290847778
2023-04-07,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,NEGATIVE,0.9981268048286438
2023-04-05,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",POSITIVE,0.9998582601547241
2023-04-05,Exceptional beanie! I wear it every time I go out in cold weather. The material is comfortable and durable. Highly recommend it.,POSITIVE,0.9998824596405029
2023-04-01,Great taste and doesn't give me a crash afterwards.,POSITIVE,0.9944359064102173
2023-03-25,"Good quality and fit, but the color is a bit off from the picture. Still, they're pretty.",POSITIVE,0.9950153231620789
2023-03-25,"The beanie is cute, but the cat ears were a bit floppy. Overall, I like it and wear it regularly.",POSITIVE,0.9761040806770325
2023-03-24,"Good quality and comfortable, but a bit pricey.",POSITIVE,0.9997726082801819
2023-03-20,"The orange flavor wasn't my favorite, but the cherry ones are great.",POSITIVE,0.999862790107727
2023-03-20,"Not only does it look cool, but it tastes great and gives a good energy boost!",POSITIVE,0.9998849630355835
2023-03-15,Just what I need for long gaming sessions. Great flavor and energy boost.,POSITIVE,0.9998794794082642
2023-03-14,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",POSITIVE,0.999826967716217
2023-03-14,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",POSITIVE,0.9997815489768982
2023-03-10,"Finally, an energy drink for gamers! It's just like a mana potion.",NEGATIVE,0.8313156962394714
2023-03-10,"I'm not really a cat person, but I like the quality and comfort of this beanie. My friend recommended it, and I'm glad I bought it.",POSITIVE,0.9998513460159302
2023-03-05,"They're a good pair of running shoes for the price. They're not the best I've had, but they do the job.",POSITIVE,0.9994767308235168
2023-03-05,"The sneakers are fun and eye-catching, but my pair arrived with one shoe not lighting up.",NEGATIVE,0.9975760579109192
2023-03-01,Very comfortable and the leather feels premium. Would recommend to anyone looking for classic sneakers.,POSITIVE,0.9988638162612915
2023-02-25,"Great sneakers, but the white ones get dirty easily. Otherwise, they're perfect.",POSITIVE,0.9987898468971252
2023-02-22,"Love these boots. They're rugged and comfortable, perfect for outdoor activities.",POSITIVE,0.9998718500137329
2023-02-20,Perfect for long gaming nights. Love the taste and the cool bottle design.,POSITIVE,0.9998824596405029
2023-02-20,"Comfortable, good fit, and the grip is excellent. Happy with my purchase.",POSITIVE,0.9998722076416016
2023-02-20,Good quality and the lights are a nice touch. My kid wears them all the time.,POSITIVE,0.9998800754547119
2023-02-18,"The tropical flavor is really good, and the energy kick is powerful.",POSITIVE,0.9998849630355835
2023-02-17,Stunning and comfortable. I wore them to a wedding and got so many compliments.,POSITIVE,0.9998867511749268
2023-02-15,"The box is nicely packaged, making it a great gift option.",POSITIVE,0.9998840093612671
2023-02-15,It's quite nice but a little snug on my head. Maybe it's just my head size. But I love the design!,POSITIVE,0.9995028972625732
2023-02-12,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,POSITIVE,0.9998854398727417
2023-02-12,The mint and citrus blend is very refreshing. And the bottle design is great too!,POSITIVE,0.999884843826294
2023-02-10,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,POSITIVE,0.9998863935470581
2023-01-24,These chocolates are so tasty! Love the variety of flavors.,POSITIVE,0.9998853206634521
2023-01-23,"Nice sandals, but they run a bit small. I recommend ordering a size up.",POSITIVE,0.9912410378456116
2023-01-15,The design is just epic! And the energy boost is real.,POSITIVE,0.9998830556869507
2023-01-15,Really like the design and they're great for running. They're also easy to clean.,POSITIVE,0.9998383522033691
2023-01-15,These sneakers are worth every penny! They're durable and my kid loves them!,POSITIVE,0.9998084902763367
2023-01-13,"These are decent boots for hiking, but they took a while to break in.",NEGATIVE,0.9876278638839722
2023-01-10,"Impressive build quality and comfort. However, I wish they were a bit cheaper.",POSITIVE,0.9948638081550598
2023-01-10,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,POSITIVE,0.9998546838760376
2022-12-25,"I bought this for my daughter, and she adores it! It's become her favorite winter accessory.",POSITIVE,0.9998419284820557
2022-12-18,"Bought the large box, and it's lasted quite a while. Great for when you need a sweet treat.",POSITIVE,0.9998445510864258
2022-12-18,These sandals are a must-have! They look amazing and feel great.,POSITIVE,0.9998792409896851
2022-12-07,Great traction and support. My feet stayed dry even in wet conditions.,NEGATIVE,0.7891535758972168
2022-11-25,"Shoes are okay, but the cushioning could be better.",POSITIVE,0.5497900247573853
2022-11-25,The shoes are great but the battery life for the lights could be better.,NEGATIVE,0.9795311689376831
2022-11-20,"Beautiful shoes, but not very comfortable. Good for short-term wear.",POSITIVE,0.9769037365913391
2022-11-20,Was looking for a good pair of white sneakers and these fit the bill. Excellent quality and design.,POSITIVE,0.9990917444229126
2022-11-10,These boots are perfect for hiking. They're comfortable and provide excellent support.,POSITIVE,0.9998550415039062
2022-11-05,"A bit pricey, but the quality of the chocolate is worth it.",POSITIVE,0.9998667240142822
2022-10-19,"Great boots! The size was perfect, and they're very comfortable.",POSITIVE,0.9998812675476074
2022-10-14,"Great quality for the price. The buckle closure is secure, and the heel feels sturdy.",POSITIVE,0.9992951154708862
2022-10-05,"Good shoes, but they run a little small. I'd recommend ordering a half size up.",NEGATIVE,0.6966978311538696
2022-10-05,"Nice design and the lights are bright. However, they run a bit small. Order a size up.",POSITIVE,0.6058585047721863
2022-10-05,"Great beanie, but I wish there were more colors available. The cat ears design is really nice.",POSITIVE,0.9997256398200989
2022-10-02,The cherry flavor is amazing. Will be buying more.,POSITIVE,0.999874472618103
2022-09-28,"These boots are durable and comfortable, but they're a bit heavy.",NEGATIVE,0.9187919497489929
2022-09-27,"The sandals are pretty, but the heel is higher than I expected.",POSITIVE,0.9979238510131836
2022-09-20,"A cozy and unique beanie. Received a lot of compliments. Plus, it's cat-themed, so that's a win for me!",POSITIVE,0.9998774528503418
2022-09-15,"Best running shoes I've had in a while. They're really comfortable, even on long runs.",POSITIVE,0.9998080134391785
2022-09-15,Comfortable and fun! My child loves showing off the light-up feature to friends.,POSITIVE,0.9998830556869507
2022-09-12,They're nice shoes but they felt a little tight at first. They loosened up after a few days though.,POSITIVE,0.8111284971237183
2022-09-10,Nice variety of flavors. The chocolate is rich and smooth.,POSITIVE,0.9998838901519775
2022-08-16,"I bought these as a gift, and they were well received. Will definitely purchase again.",POSITIVE,0.9998778104782104
2022-08-15,Good quality boots. They keep my feet dry and comfortable during long hikes.,POSITIVE,0.9997811913490295
2022-08-10,"These shoes look good, but they wore out a bit faster than I expected.",NEGATIVE,0.9983672499656677
2022-08-10,"Cool shoes, but the lights stopped working after a few weeks.",NEGATIVE,0.9980431795120239
2022-08-07,I got the black ones and they look sleek. Got compliments on the first day I wore them out.,POSITIVE,0.999276340007782
